Address,Housing_price,Baths,Housing_type,ZipCode,Beds,Location,Housing_area
470 W 24th St #4J,"$1,195,000",1 ba,Coop,10011,1 bd,"40.747852,-74.00287",NA
311 E 3rd St #24,"$465,000",1 ba,Coop,10009,2 bd,"40.721214,-73.97895",NA
575 Park Ave #1205,"$525,000",1 ba,Coop,10065,1 bd,"40.765026,-73.967636",NA
48-54 W 138th St #4A,"$350,000+",1 ba,Condo,10037,NA,"40.81536,-73.93849",357 sqft
100 W 93rd St #23B,"$1,150,000+",1 ba,Condo,10025,1 bd,"40.790794,-73.96938",739 sqft
Address Not Disclosed,"$699,900",1 ba,Condo,10044,1 bd,"40.75814,-73.95327",682 sqft
46 W 65th St #4D,"$475,000",1 ba,Coop,10023,1 bd,"40.772293,-73.981",NA
326 W 43rd St #1FE,"$675,000",1 ba,Coop,10036,2 bd,"40.758247,-73.9907",940 sqft
72 Park Ter W #E55,"$310,000",1 ba,Coop,10034,1 bd,"40.8713,-73.917145",700 sqft
165 W 66th St #19E,"$1,100,000",1 ba,Coop,10023,2 bd,"40.774868,-73.98416",NA
425 E 51st St #9D,"$579,800",1 ba,Coop,10022,1 bd,"40.754337,-73.964714",800 sqft
230 E 71st St #2A,"$550,000",1 ba,Coop,10021,1 bd,"40.76821,-73.95966",650 sqft
340 W 19th St #16,"$775,000",1 ba,Coop,10011,2 bd,"40.74339,-74.00214",NA
126 W 73rd St #4A,"$699,000",1 ba,Coop,10023,1 bd,"40.77831,-73.979416",600 sqft
543 Broadway,"$3,495,000",2.5 ba,Coop,10012,2 bd,"40.723667,-73.99885","2,500 sqft"
336 E 50th St,"$285,000",1 ba,Coop,10022,NA,"40.754116,-73.96732",NA
215 W 95th St #14G,"$895,000",1 ba,Condo,10025,1 bd,"40.794018,-73.97168",691 sqft
317 W 103rd St #3F,"$399,000",1 ba,Coop,10025,1 bd,"40.80027,-73.970695",NA
43 Clarkson St #234A,"$13,000,000",3 ba,Condo,10014,4 bd,"40.72979,-74.00802","6,471 sqft"
524 W 19th St #1,"$5,200,000+",2 ba,Condo,10011,3 bd,"40.74558,-74.00735","1,986 sqft"
14 E 75th St #4-D,"$5,450,000",3 ba,Apt/Condo/Twnhm,10021,2 bd,"40.773716,-73.96456",NA
235 E 73rd St #5AG,"$2,850,000",3 ba,Coop,10021,3 bd,"40.769943,-73.95835",NA
20 E 9th St #10FG,"$2,695,000",2 ba,Coop,10003,2 bd,"40.73218,-73.994705","1,600 sqft"
317 W 54th St #4E,"$349,000",1 ba,Coop,10019,NA,"40.76547,-73.98523",NA
73 Worth St #3R,"$4,750,000+",3 ba,Condo,10013,4 bd,"40.716866,-74.00545","2,498 sqft"
201 W 21st St #7A,"$415,000",1 ba,Coop,10011,NA,"40.743134,-73.99678",NA
468 W 23rd St #5R,"$1,495,000",2 ba,Condo,10011,2 bd,"40.747395,-74.004036",900 sqft
231 10th Ave #2B,"$1,975,000",2 ba,Condo,10011,2 bd,"40.74833,-74.00411","1,421 sqft"
314 W 138th St,"$1,499,000",4 ba,Townhome,10030,6 bd,"40.818565,-73.946106","3,536 sqft"
440 E 79th St #1204,"$1,800,000",2 ba,Apartment,10075,3 bd,"40.771442,-73.9514",NA
60 E End Ave #40C,"$3,495,000",4 ba,Coop,10028,3 bd,"40.772793,-73.946945",NA
170 W 23rd St #5S,"$695,000",1 ba,Condo,10011,NA,"40.743572,-73.99544",450 sqft
116 Pinehurst Ave #H33,"$469,000",1 ba,Coop,10033,1 bd,"40.853138,-73.93903",NA
291 7th Ave,"$12,850,000",3 ba,Condo,10001,4 bd,"40.746265,-73.99382","4,900 sqft"
63 E 80th St,"$11,500,000",4.5 ba,Townhome,10075,6 bd,"40.776794,-73.96055",NA
Address Not Disclosed,"$30,000,000",4 ba,Coop,10065,2 bd,"40.767506,-73.970215",NA
1 E End Ave #67B,"$6,200,000",4 ba,Coop,10075,5 bd,"40.770683,-73.94758",NA
27 Vandam St,"$16,300,000",5.5 ba,Townhome,10013,5 bd,"40.726578,-74.00486",NA
230 E 15th St #3P,"$625,000",1 ba,Coop,10003,NA,"40.73321,-73.98551",NA
25 Central Park W #12Q,"$10,850,000",3 ba,Condo,10023,3 bd,"40.770405,-73.9804","2,244 sqft"
173 Riverside Dr #802,"$6,300,000",4 ba,Apartment,10024,5 bd,"40.79178,-73.97777",NA
263 9th Ave #3B,"$3,150,000",2 ba,Condo,10001,2 bd,"40.74834,-74.00039","1,536 sqft"
155 W 66th St #826,"$275,000",2 ba,Condo,10023,1 bd,"40.774517,-73.983154","1,087 sqft"
622 E 81st St,"$120,000",1 ba,Single-Family Home,10028,2 bd,"40.77152,-73.94703","1,330 sqft"
205 W 54th St #7G,"$575,000",1 ba,Coop,10019,1 bd,"40.76393,-73.98186",660 sqft
270 Broadway,"$7,999,999",3.5 ba,Condo,10007,4 bd,"40.714256,-74.00697","4,014 sqft"
454 W 46th St #1AS,"$1,300,000",1.5 ba,Coop,10036,1 bd,"40.761665,-73.99339","1,380 sqft"
200 E 24th St #208,"$555,000",1 ba,Coop,10010,1 bd,"40.73914,-73.98254",600 sqft
143 W 20th St #12,"$12,500,000+",2.5 ba,Coop,10011,4 bd,"40.74197,-73.99584",NA
126 W 73rd St #7B,"$695,000",1.5 ba,Coop,10023,1 bd,"40.77831,-73.979416",700 sqft
245 E 25th St #6L,"$584,900",1 ba,Coop,10010,1 bd,"40.739506,-73.98039",625 sqft
67 Riverside Dr #8C,"$1,349,000",1 ba,Coop,10024,2 bd,"40.78464,-73.98258",NA
1810 3rd Ave #A2C,"$700,000+",1 ba,Condo,10029,2 bd,"40.788334,-73.94752",750 sqft
330 Haven Ave #3C,"$499,000",1 ba,Coop,10033,2 bd,"40.85097,-73.942055",850 sqft
121 W 17th St #4A,"$1,500,000",1 ba,Coop,10011,1 bd,"40.739887,-73.996346","1,125 sqft"
44 W 62nd St #9E,"$869,000",1 ba,Coop,10023,1 bd,"40.770725,-73.98312",800 sqft
1133 Park Ave,"$2,495,000",1.5 ba,Coop,10128,1 bd,"40.783062,-73.954605",NA
196 Avenue Of The Americas #1F,"$2,250,000",2 ba,Coop,10013,2 bd,"40.72658,-74.00341",NA
330 3rd Ave #14F,"$749,000",1 ba,Coop,10010,1 bd,"40.739876,-73.98276",725 sqft
20 E 9th St,"$900,000",1 ba,Coop,10003,NA,"40.73218,-73.994705",850 sqft
41 E 28th St #3A,,1.5 ba,Coop,10016,2 bd,"40.743744,-73.98447","1,300 sqft"
301 E 64th St #15D,"$750,000",1 ba,Coop,10065,1 bd,"40.763714,-73.961426",725 sqft
30 E 9th St #5H,"$595,000",1 ba,Coop,10003,NA,"40.731953,-73.99414",500 sqft
200 Chambers St #4C,"$5,425,000",4 ba,Condo,10007,4 bd,"40.71656,-74.01235","2,794 sqft"
120 Riverside Blvd #15W,"$1,295,000",1 ba,Condo,10069,1 bd,"40.776352,-73.98913",874 sqft
1810 3rd Ave #B9C,"$645,887+",1 ba,Condo,10029,2 bd,"40.788334,-73.94752",NA
140 W 23rd St #2C,"$2,100,000",2 ba,Condo,10011,2 bd,"40.743248,-73.994385","1,296 sqft"
133 Mercer St #3,"$3,000,000",2 ba,Coop,10012,2 bd,"40.72447,-73.99897","1,400 sqft"
885 Park Ave #GR,"$1,075,000",NA,NA,10075,NA,"40.775017,-73.9606",NA
301 E 87th St #15F,"$725,000",1 ba,Coop,10128,1 bd,"40.778618,-73.9508",725 sqft
166 E 78th St #3B,"$1,250,000",1 ba,Coop,10075,2 bd,"40.773754,-73.95876",NA
530 Grand St,"$1,190,000",2 ba,Coop,10002,3 bd,"40.71476,-73.9805","1,250 sqft"
70 Haven Ave #6D,"$299,900",1 ba,Coop,10032,1 bd,"40.843792,-73.94302",650 sqft
39 E 12th St #108,"$1,200,000",1 ba,Coop,10003,1 bd,"40.73376,-73.99179",NA
230 E 52nd St #2C,"$399,000",1 ba,Condo,10022,NA,"40.756367,-73.96876",NA
425 E 13th St #2A,"$1,250,000",1.5 ba,Condo,10009,1 bd,"40.73038,-73.98203",741 sqft
430 E 77th St #5E,"$350,000",1 ba,Coop,10075,NA,"40.770206,-73.952324",NA
537 W 133rd St #34,"$235,000",1 ba,Coop,10027,2 bd,"40.818424,-73.95454",NA
4 Lexington Ave #9M,"$399,999",1 ba,Coop,10010,NA,"40.738853,-73.98574",400 sqft
145 E 29th St #4E,"$335,000",1 ba,Coop,10016,NA,"40.74306,-73.98095",NA
327 E 3rd St #2E,"$459,000",1 ba,Coop,10009,1 bd,"40.720898,-73.978424",NA
140 E 28th St #1J,"$500,000",1 ba,Coop,10016,NA,"40.742157,-73.98191",590 sqft
2 S End Ave,,2 ba,Condo,10280,2 bd,"40.707924,-74.01724","1,042 sqft"
14 Bogardus Pl #2V,"$199,000",1 ba,Coop,10040,NA,"40.859108,-73.92963",NA
24 5th Ave #304,"$399,000",1 ba,Coop,10011,NA,"40.733246,-73.99631",330 sqft
399 Manhattan Ave,,4.5 ba,Townhome,10026,4 bd,"40.805565,-73.9567","2,810 sqft"
4 Lexington Ave #9A,"$625,000",1 ba,Coop,10010,1 bd,"40.738853,-73.98574",NA
162 E 91st St #4B,"$515,000",1 ba,Coop,10128,1 bd,"40.782154,-73.952614",NA
516 E 82nd St #4W,"$415,000+",1 ba,Coop,10028,1 bd,"40.772728,-73.948166",NA
225 E 73rd St #4F,"$475,000",1 ba,Coop,10021,NA,"40.770077,-73.958664",500 sqft
350 W 53rd St,,2 ba,Condo,10019,1 bd,"40.764824,-73.98687",805 sqft
11 W 30th St #6R,"$1,695,000",1 ba,Coop,10001,2 bd,"40.746517,-73.98721","2,219 sqft"
444 E 87th St #4C,"$380,000",1 ba,Coop,10128,1 bd,"40.776638,-73.94732",NA
91 Payson Ave #7F,"$379,000",1 ba,Coop,10034,1 bd,"40.867893,-73.92648",NA
35 W 23rd St #2,"$5,900,000",2.5 ba,Condo,10010,4 bd,"40.742393,-73.990845","3,531 sqft"
301 E 75th St #7G,"$469,000",1 ba,Coop,10021,1 bd,"40.77084,-73.95651",565 sqft
370 Central Park W #402,"$650,000",1 ba,Coop,10025,1 bd,"40.792343,-73.964806",NA
314 E 41st St #1107A,"$375,000",1 ba,Coop,10017,NA,"40.748802,-73.97222",NA
420 W 25th St #2G,"$2,500,000",2 ba,Condo,10001,2 bd,"40.748398,-74.002266","1,578 sqft"
40 W 116th St #A411,"$1,200,000",2 ba,Condo,10026,2 bd,"40.801342,-73.94844","1,184 sqft"
220 W 148th St,,2 ba,Condo,10039,2 bd,"40.823917,-73.93948","1,400 sqft"
340 Haven Ave #3N,"$350,000",1 ba,Coop,10033,1 bd,"40.85134,-73.94146",NA
571 Academy St #PH5H,,1 ba,Condo,10034,2 bd,"40.864113,-73.92316",NA
2 Hubert St #2E,"$2,650,000",1 ba,Condo,10013,2 bd,"40.721493,-74.00866","1,222 sqft"
340 E 23rd St #SH1C,"$3,188,000",2 ba,Condo,10010,3 bd,"40.737045,-73.97926","1,736 sqft"
39 E 29th St #12B,"$1,650,000",1 ba,Condo,10016,1 bd,"40.74443,-73.98413",855 sqft
327 Central Park W,"$1,795,000",2 ba,Condo,10025,2 bd,"40.78971,-73.96656","1,199 sqft"
200 W 20th St #304,"$478,000",1 ba,Coop,10011,NA,"40.742176,-73.997246",490 sqft
25 N Moore St #2A,"$6,550,000",2 ba,Condo,10013,2 bd,"40.720005,-74.00714","3,000 sqft"
220 E 65th St,"$4,295,000",3 ba,Condo,10065,3 bd,"40.764442,-73.962654","1,770 sqft"
65 Nassau St #9B,"$899,000",1.5 ba,Coop,10038,2 bd,"40.709465,-74.00869",NA
845 W End Ave #4A,"$4,550,000+",4.5 ba,Condo,10025,4 bd,"40.798798,-73.97084","2,557 sqft"
100 W 93rd St #2D,"$745,000+",1 ba,Condo,10025,NA,"40.790794,-73.96938",493 sqft
20 W 64th St #28DE,"$10,500,000",4.5 ba,Condo,10023,4 bd,"40.771523,-73.98083","3,300 sqft"
E 89th #L,"$849,000",1 ba,Coop,10128,2 bd,"40.78303,-73.95796","1,000 sqft"
235 W 75th St #620,"$1,500,000+",1 ba,Condo,10023,1 bd,"40.78155,-73.981636",847 sqft
61 E 93rd St,"$6,700,000",4 ba,Townhome,10128,5 bd,"40.78519,-73.95471",NA
345 W 70th St #1F,"$1,175,000",1 ba,Coop,10023,3 bd,"40.779343,-73.98692",NA
77 E 110th St #6A,"$1,019,700",1 ba,Condo,10029,2 bd,"40.79591,-73.94643","1,033 sqft"
736 W 187th St #609,"$800,000",2 ba,Condo,10033,3 bd,"40.854397,-73.93541","1,187 sqft"
133 Mulberry St #2B,"$3,800,000+",3.5 ba,Condo,10013,3 bd,"40.718636,-73.99792","2,957 sqft"
332 E 77th St #12A,"$399,000",1 ba,Coop,10075,1 bd,"40.771305,-73.95493",NA
220 Riverside Blvd,"$13,950,000",3.5 ba,Condo,10069,4 bd,"40.779762,-73.98732","4,000 sqft"
15 Union Sq W #6D,"$6,200,000",2.5 ba,Condo,10003,2 bd,"40.736145,-73.991264","2,282 sqft"
160 W 12th St #PH3,"$17,450,000+",4.5 ba,Condo,10011,3 bd,"40.73677,-73.99993","3,508 sqft"
425 E 86th St #16D,"$999,000",2 ba,Coop,10028,2 bd,"40.776672,-73.94815",NA
225 E 36th St #9-N,"$1,295,000",2 ba,Coop,10016,2 bd,"40.74666,-73.9758","1,200 sqft"
100 W 119th St #2B,"$1,450,000+",2 ba,Condo,10026,4 bd,"40.803883,-73.94912","1,524 sqft"
Address Not Disclosed,,NA,NA,10032,NA,"40.836693,-73.94085",NA
235 E 57th St #5D,"$729,000",1 ba,Coop,10022,1 bd,"40.75982,-73.96576",750 sqft
737 Park Ave #9,"$11,995,000+",4.5 ba,Condo,10021,3 bd,"40.770424,-73.96373","3,289 sqft"
240 W 23rd St #PHOUSE7D,"$2,649,000",2 ba,Coop,10011,3 bd,"40.744507,-73.99737","1,800 sqft"
215 E 29th St #1,"$750,000",1 ba,Coop,10016,2 bd,"40.742443,-73.979485",NA
15 Central Park W #35D,"$33,000,000",3 ba,Condo,10023,3 bd,"40.77013,-73.981514","3,173 sqft"
333 E 75th St,"$539,000",1 ba,Coop,10021,1 bd,"40.77025,-73.95515",NA
2 King St #1C,"$669,000",1 ba,Coop,10012,1 bd,"40.727432,-74.0029",NA
266 E Broadway #B705,,1 ba,Coop,10002,1 bd,"40.71462,-73.985115",700 sqft
212 Warren St #27A,"$2,800,000+",2.5 ba,Condo,10282,2 bd,"40.716343,-74.01242","1,461 sqft"
105 Norfolk St,"$1,795,000",2 ba,Condo,10002,2 bd,"40.718777,-73.98736","1,218 sqft"
2 5th Ave #2526,"$3,999,000",2.5 ba,Coop,10011,3 bd,"40.731834,-73.99707","1,930 sqft"
150 W 87th St #2B,,2 ba,Coop,10024,2 bd,"40.787655,-73.97346",NA
145 Bleecker St,"$8,000,000",6 ba,Townhome,10012,6 bd,"40.72838,-73.99906",NA
50 Riverside Blvd #PH5A,"$23,140,000",8.5 ba,Condo,10069,6 bd,"40.774742,-73.99084","6,168 sqft"
25 Columbus Cir #60AG,"$21,500,000",5.5 ba,Condo,10019,5 bd,"40.76889,-73.983406","3,582 sqft"
10 West St #33A,"$3,300,000",2 ba,Condo,10004,2 bd,"40.705612,-74.01752","1,565 sqft"
219 W 81st St #6J,"$869,999",1 ba,Condo,10024,1 bd,"40.78509,-73.97827",554 sqft
145 W 87th St,"$7,250,000",4.5 ba,Townhome,10024,4 bd,"40.787907,-73.972855",NA
245 W 14th St #- APT TOWER 3,"$7,950,000",3.5 ba,Condo,10011,3 bd,"40.739616,-74.00143","2,713 sqft"
393 W 49th St #6G,"$1,508,000",2 ba,Condo,10019,2 bd,"40.762882,-73.98848","1,005 sqft"
61 E 77th St #7C,"$750,000",1 ba,Coop,10075,1 bd,"40.774887,-73.96222",700 sqft
470 W 24th St #4J,"$1,195,000",1 ba,Coop,10011,1 bd,"40.747852,-74.00287",NA
311 E 3rd St #24,"$465,000",1 ba,Coop,10009,2 bd,"40.721214,-73.97895",NA
575 Park Ave #1205,"$525,000",1 ba,Coop,10065,1 bd,"40.765026,-73.967636",NA
48-54 W 138th St #4A,"$350,000+",1 ba,Condo,10037,NA,"40.81536,-73.93849",357 sqft
100 W 93rd St #23B,"$1,150,000+",1 ba,Condo,10025,1 bd,"40.790794,-73.96938",739 sqft
Address Not Disclosed,"$699,900",1 ba,Condo,10044,1 bd,"40.75814,-73.95327",682 sqft
46 W 65th St #4D,"$475,000",1 ba,Coop,10023,1 bd,"40.772293,-73.981",NA
326 W 43rd St #1FE,"$675,000",1 ba,Coop,10036,2 bd,"40.758247,-73.9907",940 sqft
72 Park Ter W #E55,"$310,000",1 ba,Coop,10034,1 bd,"40.8713,-73.917145",700 sqft
165 W 66th St #19E,"$1,100,000",1 ba,Coop,10023,2 bd,"40.774868,-73.98416",NA
425 E 51st St #9D,"$579,800",1 ba,Coop,10022,1 bd,"40.754337,-73.964714",800 sqft
230 E 71st St #2A,"$550,000",1 ba,Coop,10021,1 bd,"40.76821,-73.95966",650 sqft
340 W 19th St #16,"$775,000",1 ba,Coop,10011,2 bd,"40.74339,-74.00214",NA
126 W 73rd St #4A,"$699,000",1 ba,Coop,10023,1 bd,"40.77831,-73.979416",600 sqft
543 Broadway,"$3,495,000",2.5 ba,Coop,10012,2 bd,"40.723667,-73.99885","2,500 sqft"
336 E 50th St,"$285,000",1 ba,Coop,10022,NA,"40.754116,-73.96732",NA
215 W 95th St #14G,"$895,000",1 ba,Condo,10025,1 bd,"40.794018,-73.97168",691 sqft
317 W 103rd St #3F,"$399,000",1 ba,Coop,10025,1 bd,"40.80027,-73.970695",NA
43 Clarkson St #234A,"$13,000,000",3 ba,Condo,10014,4 bd,"40.72979,-74.00802","6,471 sqft"
524 W 19th St #1,"$5,200,000+",2 ba,Condo,10011,3 bd,"40.74558,-74.00735","1,986 sqft"
14 E 75th St #4-D,"$5,450,000",3 ba,Apt/Condo/Twnhm,10021,2 bd,"40.773716,-73.96456",NA
235 E 73rd St #5AG,"$2,850,000",3 ba,Coop,10021,3 bd,"40.769943,-73.95835",NA
20 E 9th St #10FG,"$2,695,000",2 ba,Coop,10003,2 bd,"40.73218,-73.994705","1,600 sqft"
317 W 54th St #4E,"$349,000",1 ba,Coop,10019,NA,"40.76547,-73.98523",NA
73 Worth St #3R,"$4,750,000+",3 ba,Condo,10013,4 bd,"40.716866,-74.00545","2,498 sqft"
201 W 21st St #7A,"$415,000",1 ba,Coop,10011,NA,"40.743134,-73.99678",NA
468 W 23rd St #5R,"$1,495,000",2 ba,Condo,10011,2 bd,"40.747395,-74.004036",900 sqft
231 10th Ave #2B,"$1,975,000",2 ba,Condo,10011,2 bd,"40.74833,-74.00411","1,421 sqft"
314 W 138th St,"$1,499,000",4 ba,Townhome,10030,6 bd,"40.818565,-73.946106","3,536 sqft"
440 E 79th St #1204,"$1,800,000",2 ba,Apartment,10075,3 bd,"40.771442,-73.9514",NA
60 E End Ave #40C,"$3,495,000",4 ba,Coop,10028,3 bd,"40.772793,-73.946945",NA
170 W 23rd St #5S,"$695,000",1 ba,Condo,10011,NA,"40.743572,-73.99544",450 sqft
116 Pinehurst Ave #H33,"$469,000",1 ba,Coop,10033,1 bd,"40.853138,-73.93903",NA
291 7th Ave,"$12,850,000",3 ba,Condo,10001,4 bd,"40.746265,-73.99382","4,900 sqft"
63 E 80th St,"$11,500,000",4.5 ba,Townhome,10075,6 bd,"40.776794,-73.96055",NA
Address Not Disclosed,"$30,000,000",4 ba,Coop,10065,2 bd,"40.767506,-73.970215",NA
1 E End Ave #67B,"$6,200,000",4 ba,Coop,10075,5 bd,"40.770683,-73.94758",NA
27 Vandam St,"$16,300,000",5.5 ba,Townhome,10013,5 bd,"40.726578,-74.00486",NA
230 E 15th St #3P,"$625,000",1 ba,Coop,10003,NA,"40.73321,-73.98551",NA
25 Central Park W #12Q,"$10,850,000",3 ba,Condo,10023,3 bd,"40.770405,-73.9804","2,244 sqft"
173 Riverside Dr #802,"$6,300,000",4 ba,Apartment,10024,5 bd,"40.79178,-73.97777",NA
263 9th Ave #3B,"$3,150,000",2 ba,Condo,10001,2 bd,"40.74834,-74.00039","1,536 sqft"
155 W 66th St #826,"$275,000",2 ba,Condo,10023,1 bd,"40.774517,-73.983154","1,087 sqft"
622 E 81st St,"$120,000",1 ba,Single-Family Home,10028,2 bd,"40.77152,-73.94703","1,330 sqft"
205 W 54th St #7G,"$575,000",1 ba,Coop,10019,1 bd,"40.76393,-73.98186",660 sqft
270 Broadway,"$7,999,999",3.5 ba,Condo,10007,4 bd,"40.714256,-74.00697","4,014 sqft"
454 W 46th St #1AS,"$1,300,000",1.5 ba,Coop,10036,1 bd,"40.761665,-73.99339","1,380 sqft"
200 E 24th St #208,"$555,000",1 ba,Coop,10010,1 bd,"40.73914,-73.98254",600 sqft
143 W 20th St #12,"$12,500,000+",2.5 ba,Coop,10011,4 bd,"40.74197,-73.99584",NA
126 W 73rd St #7B,"$695,000",1.5 ba,Coop,10023,1 bd,"40.77831,-73.979416",700 sqft
245 E 25th St #6L,"$584,900",1 ba,Coop,10010,1 bd,"40.739506,-73.98039",625 sqft
67 Riverside Dr #8C,"$1,349,000",1 ba,Coop,10024,2 bd,"40.78464,-73.98258",NA
1810 3rd Ave #A2C,"$700,000+",1 ba,Condo,10029,2 bd,"40.788334,-73.94752",750 sqft
330 Haven Ave #3C,"$499,000",1 ba,Coop,10033,2 bd,"40.85097,-73.942055",850 sqft
121 W 17th St #4A,"$1,500,000",1 ba,Coop,10011,1 bd,"40.739887,-73.996346","1,125 sqft"
44 W 62nd St #9E,"$869,000",1 ba,Coop,10023,1 bd,"40.770725,-73.98312",800 sqft
1133 Park Ave,"$2,495,000",1.5 ba,Coop,10128,1 bd,"40.783062,-73.954605",NA
196 Avenue Of The Americas #1F,"$2,250,000",2 ba,Coop,10013,2 bd,"40.72658,-74.00341",NA
330 3rd Ave #14F,"$749,000",1 ba,Coop,10010,1 bd,"40.739876,-73.98276",725 sqft
20 E 9th St,"$900,000",1 ba,Coop,10003,NA,"40.73218,-73.994705",850 sqft
41 E 28th St #3A,,1.5 ba,Coop,10016,2 bd,"40.743744,-73.98447","1,300 sqft"
301 E 64th St #15D,"$750,000",1 ba,Coop,10065,1 bd,"40.763714,-73.961426",725 sqft
30 E 9th St #5H,"$595,000",1 ba,Coop,10003,NA,"40.731953,-73.99414",500 sqft
200 Chambers St #4C,"$5,425,000",4 ba,Condo,10007,4 bd,"40.71656,-74.01235","2,794 sqft"
120 Riverside Blvd #15W,"$1,295,000",1 ba,Condo,10069,1 bd,"40.776352,-73.98913",874 sqft
1810 3rd Ave #B9C,"$645,887+",1 ba,Condo,10029,2 bd,"40.788334,-73.94752",NA
140 W 23rd St #2C,"$2,100,000",2 ba,Condo,10011,2 bd,"40.743248,-73.994385","1,296 sqft"
133 Mercer St #3,"$3,000,000",2 ba,Coop,10012,2 bd,"40.72447,-73.99897","1,400 sqft"
885 Park Ave #GR,"$1,075,000",NA,NA,10075,NA,"40.775017,-73.9606",NA
301 E 87th St #15F,"$725,000",1 ba,Coop,10128,1 bd,"40.778618,-73.9508",725 sqft
166 E 78th St #3B,"$1,250,000",1 ba,Coop,10075,2 bd,"40.773754,-73.95876",NA
530 Grand St,"$1,190,000",2 ba,Coop,10002,3 bd,"40.71476,-73.9805","1,250 sqft"
70 Haven Ave #6D,"$299,900",1 ba,Coop,10032,1 bd,"40.843792,-73.94302",650 sqft
39 E 12th St #108,"$1,200,000",1 ba,Coop,10003,1 bd,"40.73376,-73.99179",NA
230 E 52nd St #2C,"$399,000",1 ba,Condo,10022,NA,"40.756367,-73.96876",NA
425 E 13th St #2A,"$1,250,000",1.5 ba,Condo,10009,1 bd,"40.73038,-73.98203",741 sqft
430 E 77th St #5E,"$350,000",1 ba,Coop,10075,NA,"40.770206,-73.952324",NA
537 W 133rd St #34,"$235,000",1 ba,Coop,10027,2 bd,"40.818424,-73.95454",NA
4 Lexington Ave #9M,"$399,999",1 ba,Coop,10010,NA,"40.738853,-73.98574",400 sqft
145 E 29th St #4E,"$335,000",1 ba,Coop,10016,NA,"40.74306,-73.98095",NA
327 E 3rd St #2E,"$459,000",1 ba,Coop,10009,1 bd,"40.720898,-73.978424",NA
140 E 28th St #1J,"$500,000",1 ba,Coop,10016,NA,"40.742157,-73.98191",590 sqft
2 S End Ave,,2 ba,Condo,10280,2 bd,"40.707924,-74.01724","1,042 sqft"
14 Bogardus Pl #2V,"$199,000",1 ba,Coop,10040,NA,"40.859108,-73.92963",NA
24 5th Ave #304,"$399,000",1 ba,Coop,10011,NA,"40.733246,-73.99631",330 sqft
399 Manhattan Ave,,4.5 ba,Townhome,10026,4 bd,"40.805565,-73.9567","2,810 sqft"
4 Lexington Ave #9A,"$625,000",1 ba,Coop,10010,1 bd,"40.738853,-73.98574",NA
162 E 91st St #4B,"$515,000",1 ba,Coop,10128,1 bd,"40.782154,-73.952614",NA
516 E 82nd St #4W,"$415,000+",1 ba,Coop,10028,1 bd,"40.772728,-73.948166",NA
225 E 73rd St #4F,"$475,000",1 ba,Coop,10021,NA,"40.770077,-73.958664",500 sqft
350 W 53rd St,,2 ba,Condo,10019,1 bd,"40.764824,-73.98687",805 sqft
11 W 30th St #6R,"$1,695,000",1 ba,Coop,10001,2 bd,"40.746517,-73.98721","2,219 sqft"
444 E 87th St #4C,"$380,000",1 ba,Coop,10128,1 bd,"40.776638,-73.94732",NA
91 Payson Ave #7F,"$379,000",1 ba,Coop,10034,1 bd,"40.867893,-73.92648",NA
35 W 23rd St #2,"$5,900,000",2.5 ba,Condo,10010,4 bd,"40.742393,-73.990845","3,531 sqft"
301 E 75th St #7G,"$469,000",1 ba,Coop,10021,1 bd,"40.77084,-73.95651",565 sqft
370 Central Park W #402,"$650,000",1 ba,Coop,10025,1 bd,"40.792343,-73.964806",NA
314 E 41st St #1107A,"$375,000",1 ba,Coop,10017,NA,"40.748802,-73.97222",NA
420 W 25th St #2G,"$2,500,000",2 ba,Condo,10001,2 bd,"40.748398,-74.002266","1,578 sqft"
40 W 116th St #A411,"$1,200,000",2 ba,Condo,10026,2 bd,"40.801342,-73.94844","1,184 sqft"
220 W 148th St,,2 ba,Condo,10039,2 bd,"40.823917,-73.93948","1,400 sqft"
340 Haven Ave #3N,"$350,000",1 ba,Coop,10033,1 bd,"40.85134,-73.94146",NA
571 Academy St #PH5H,,1 ba,Condo,10034,2 bd,"40.864113,-73.92316",NA
2 Hubert St #2E,"$2,650,000",1 ba,Condo,10013,2 bd,"40.721493,-74.00866","1,222 sqft"
340 E 23rd St #SH1C,"$3,188,000",2 ba,Condo,10010,3 bd,"40.737045,-73.97926","1,736 sqft"
39 E 29th St #12B,"$1,650,000",1 ba,Condo,10016,1 bd,"40.74443,-73.98413",855 sqft
327 Central Park W,"$1,795,000",2 ba,Condo,10025,2 bd,"40.78971,-73.96656","1,199 sqft"
200 W 20th St #304,"$478,000",1 ba,Coop,10011,NA,"40.742176,-73.997246",490 sqft
25 N Moore St #2A,"$6,550,000",2 ba,Condo,10013,2 bd,"40.720005,-74.00714","3,000 sqft"
220 E 65th St,"$4,295,000",3 ba,Condo,10065,3 bd,"40.764442,-73.962654","1,770 sqft"
65 Nassau St #9B,"$899,000",1.5 ba,Coop,10038,2 bd,"40.709465,-74.00869",NA
845 W End Ave #4A,"$4,550,000+",4.5 ba,Condo,10025,4 bd,"40.798798,-73.97084","2,557 sqft"
100 W 93rd St #2D,"$745,000+",1 ba,Condo,10025,NA,"40.790794,-73.96938",493 sqft
20 W 64th St #28DE,"$10,500,000",4.5 ba,Condo,10023,4 bd,"40.771523,-73.98083","3,300 sqft"
